City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,faanui,-16.4833,-151.75,27.39,72,6,1.71,PF,1681677856
135,zhezkazgan,47.8043,67.7144,2.03,92,100,7.06,KZ,1681677858
136,requena,39.4883,-1.1004,10.84,46,0,0.5,ES,1681677859
137,maine-soroa,13.2114,12.0241,30.06,9,48,2.68,NE,1681677860
138,savalou,7.9281,1.9756,27.37,73,99,2.93,BJ,1681677861
139,brindisi,40.5833,17.6667,11.91,91,24,4.7,IT,1681677861
140,gushikawa,26.3544,127.8686,21.0,81,0,3.09,JP,1681677862
141,vila franca do campo,37.7167,-25.4333,17.23,93,8,3.56,PT,1681677862
142,burnie,-41.0667,145.9167,11.64,89,92,5.19,AU,1681677863
143,chalus,36.655,51.4204,10.7,100,100,3.09,IR,1681677864
144,aleksandro-nevskiy,53.4751,40.2095,6.53,40,99,1.59,RU,1681677864
145,meulaboh,4.1363,96.1285,25.02,89,93,1.59,ID,1681677864
146,arlit,18.7369,7.3853,30.97,10,4,4.51,NE,1681677865
147,jackson,42.4165,-122.8345,16.2,55,100,2.57,US,1681677719
148,longyearbyen,78.2186,15.6401,3.91,70,75,6.69,SJ,1681677865
149,viedma,-40.8135,-62.9967,18.77,26,72,4.39,AR,1681677865
150,sabzevar,36.2126,57.6819,14.1,39,100,5.14,IR,1681677866
151,hovd,48.0056,91.6419,3.77,35,7,1.44,MN,1681677866
152,godda,24.8333,87.2167,29.66,22,27,2.04,IN,1681677866
153,saskylakh,71.9167,114.0833,-12.07,96,100,4.67,RU,1681677867
154,bud,39.447,-86.1758,9.97,81,100,8.45,US,1681677868
155,kununurra,-15.7667,128.7333,21.99,60,18,2.57,AU,1681677868
156,sheregesh,52.9209,87.9869,-10.3,98,93,1.49,RU,1681677869
157,cap malheureux,-19.9842,57.6142,24.7,81,12,1.34,MU,1681677869
158,cockburn town,21.4612,-71.1419,26.98,65,75,7.72,TC,1681677869
159,laguna,38.421,-121.4238,20.6,50,0,6.69,US,1681677661
160,altay,47.8667,88.1167,0.92,58,8,2.39,CN,1681677870
161,ikwiriri,-7.9562,38.9716,22.57,98,98,1.43,TZ,1681677870
162,dawlatabad,36.4141,64.9053,18.07,30,100,2.52,AF,1681677870
163,sao bernardo do campo,-23.6939,-46.565,25.69,83,0,5.66,BR,1681677786
164,san patricio,28.017,-97.5169,26.94,30,0,6.64,US,1681677871
165,cuencame,24.8711,-103.6964,29.4,10,4,3.98,MX,1681677871
166,paramirim,-13.4425,-42.2389,30.51,29,100,2.52,BR,1681677871
167,linjiang,41.8069,126.9078,2.44,92,52,1.02,CN,1681677872
168,manaure,11.7751,-72.4445,30.36,57,93,6.65,CO,1681677872
169,northam,51.0333,-4.2167,11.81,91,90,1.79,GB,1681677873
170,milkovo,54.7167,158.6167,-1.77,92,100,1.61,RU,1681677873
171,okhotsk,59.3833,143.3,-5.39,95,100,1.32,RU,1681677873
172,mill valley,37.906,-122.545,18.35,62,61,4.02,US,1681677873
173,kabare,-2.4683,28.8242,15.95,98,86,0.62,CD,1681677873
174,mar del plata,-38.0023,-57.5575,15.01,64,0,4.63,AR,1681677874
175,cairns,-16.9167,145.7667,26.15,97,100,0.51,AU,1681677874
176,constitucion,-35.3333,-72.4167,14.59,69,0,4.8,CL,1681677874
177,khatanga,71.9667,102.5,-11.63,95,100,5.09,RU,1681677875
178,turukhansk,65.8167,87.9833,-18.17,85,32,2.28,RU,1681677875
179,aljezur,37.3191,-8.8033,15.65,77,0,1.51,PT,1681677875
180,novobiryusinskiy,56.9578,97.7076,-5.69,94,99,2.43,RU,1681677875
